종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032602","전자부품 제조업","03",,"51084642","500","25542321000","원(KRW)","김세완","02-896-9474","서울특별시 금천구 가산디지털1로 75-24 1310호"
"054620","APS","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"19894221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"15281421","500","7640710500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"033103","항공기,우주선 및 부품 제조업","12",,"15082304","500","7541152000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"109960","AP헬스케어","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"114152276","500","57076138000","원(KRW)","김정출","031-8022-0513","경기도 성남시 중원구 둔촌대로 545 한라시그마밸리 B1(지하1층) "
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)",,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"8644551","500","4322275500","원(KRW)","진형일","031-470-4803","경기도 안양시 만안구 예술공원로 153-323층(석수동 825-1 3층) "
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"54033275","500","27016637500","원(KRW)","홍정혁","031-499-2195","경기도 화성시  장안면 상두원길 142 "
"013720","CBI","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"43867680","1000","43867680000","원(KRW)","오경원","032 -816 -3550","인천광역시 남동구  남동대로 208 "
"083790","CG인바이츠","KOSDAQ","벤처기업부",,"137001","자연과학 및 공학 연구개발업","12",,"76894182","500","38447091000","원(KRW)","정인철, 오수연","02-2107-2776","경기도 성남시 분당구  대왕판교로 700 코리아바이오파크 A동 5층, 6층, 7층"
"035760","CJ ENM","KOSDAQ","중견기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","윤상현","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"9112502","500","4556251000","원(KRW)","천종식","02-6078-3456","서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층 "
"051500","CJ프레시웨이","KOSDAQ","우량기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","정성필","02-2149-6607","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","031-881-7600","서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동) "
"023460","CNH","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"37200000","2500","93000000000","원(KRW)","김양수(단독대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"056730","CNT85","KOSDAQ","중견기업부",,"064101","건물 건설업","12",,"74111186","500","37055593000","원(KRW)","박종승","02-3467-1900","경기도 안양시 동안구 학의로 268 6층 625호(관양동,안양메가밸리)"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"19411130","500","9705565000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","중견기업부",,"032004","기타 화학제품 제조업","12",,"61247181","200","12249436200","원(KRW)","오영철,조성아 (공동대표)","02-6203-5370","서울특별시 강남구 학동로30길 20 -"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"5315000","100","531500000","원(KRW)","김동식","02-369-3957","서울특별시 영등포구 국제금융로8길 32 "
"060900","DGP","KOSDAQ","중견기업부",,"043501","전기업","12",,"25258229","1000","25258229000","원(KRW)","오경원","02-562-5310","전라남도 영광군 영광읍 그린테크로 23 - "
