종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"095570","AJ네트웍스","KOSPI",,,"147603","산업용 기계 및 장비 임대업","12",,"45252759","1000","46822295000","원(KRW)","손삼달","02-6363-9999","서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
"006840","AK홀딩스","KOSPI",,,"116409","기타 금융업","12",,"13247561","5000","66237805000","원(KRW)","채형석, 백차현(각자 대표이사)","02-768-2923","서울특별시 마포구 양화로 188 - "
"027410","BGF","KOSPI",,,"116409","기타 금융업","12",,"95716791","1000","95716791000",,"홍정국","1577-3663","서울특별시 강남구 테헤란로 405 "
"282330","BGF리테일","KOSPI",,,"074701","종합 소매업","12",,"17283906","1000","17283906000","원(KRW)","민승배","02-1577-8007","서울특별시 강남구 테헤란로 405 BGF사옥"
"138930","BNK금융지주","KOSPI",,,"116409","기타 금융업","12",,"322088438","5000","1629676230000","원(KRW)","빈대인","051-620-3023","부산광역시 남구 문현금융로 30(문현동) "
"001460","BYC","KOSPI",,,"031401","봉제의복 제조업","12",,"6246150","500","4200000000","원(KRW)","김 대 환","02-840-3172","서울특별시 영등포구 디지털로38길 27 (주)비와이씨 "
"001040","CJ","KOSPI",,,"116409","기타 금융업","12",,"29176998","5000","179047370000","원(KRW)","손경식, 김홍기","02-726-8114","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
"079160","CJ CGV","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"122432292","500","61216146000","원(KRW)","허민회","02-371-6660","서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) "
"000120","CJ대한통운","KOSPI",,,"084903","도로 화물 운송업","12",,"22812344","5000","114061720000","원(KRW)","신영수, 민영학 (각자 대표)","02-3782-0114","서울특별시 종로구 종로5길 7(청진동) Tower 8 "
"011150","CJ씨푸드","KOSPI",,,"031007","기타 식품 제조업","12",,"35930773","500","18065386500","원(KRW)","박태준","031-730-9114","경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)"
"097950","CJ제일제당","KOSPI",,,"031007","기타 식품 제조업","12",,"15054186","5000","81908095000","원(KRW)","손경식,강신호(각자 대표이사)","726-8114","서울특별시 중구  동호로 330 "
"000480","CR홀딩스","KOSPI",,,"032302","내화, 비내화 요업제품 제조업","12",,"46890490","500","23445245000","원(KRW)","양용준","02-6966-3090","전라남도 광양시 산업로 55 본관 3층"
"000590","CS홀딩스","KOSPI",,,"116409","기타 금융업","12",,"1154482","5000","5772410000","원(KRW)","장원영","02-3459-9363","경상북도 포항시 남구 괴동로 43 (장흥동)"
"012030","DB","KOSPI",,,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"201173933","500","100586966500","원(KRW)","문덕식,강운식 (각자 대표이사)","02-2136-6000","서울특별시 강남구 삼성로96길 23 7층"
"016610","DB금융투자","KOSPI",,,"116601","금융 지원 서비스업","12",,"42446389","5000","212231945000","원(KRW)","곽봉석","02-369-3000","서울특별시 영등포구 국제금융로8길 32 동부증권빌딩"
"005830","DB손해보험","KOSPI",,,"116501","보험업","12",,"70800000","500","35400000000","원(KRW)","김정남, 정종표","02-1588-0100","서울특별시 강남구  테헤란로 432 "
"000990","DB하이텍","KOSPI",,,"032601","반도체 제조업","12",,"44398588","5000","221992940000","원(KRW)","조기석","02-3484-2888","경기도 부천시 수도로 90 (주)DB하이텍"
"139130","DGB금융지주","KOSPI",,,"116409","기타 금융업","12",,"169145833","5000","845729165000","원(KRW)","황병우","0537407900","대구광역시 북구 옥산로 111 대구은행 제2본점 9층"
"001530","DI동일","KOSPI",,,"074601","상품 중개업","12",,"25215672","500","13258853000","원(KRW)","서태원, 손재선","02-2222-3071","서울특별시 강남구  테헤란로 516 정헌빌딩 8층"
"000210","DL","KOSPI",,,"032001","기초 화학물질 제조업","12",,"20955884","5000","138709995000","원(KRW)","김종현","02-2011-7114","서울특별시 종로구 통일로 134 디타워 돈의문"
"375500","DL이앤씨","KOSPI",,,"064102","토목 건설업","12",,"38693623","5000","229292680000","원(KRW)","서영재","02-2011-7114","서울특별시 종로구 통일로 134 "
"007340","DN오토모티브","KOSPI",,,"032802","일차전지 및 축전지 제조업","12",,"9994005","500","4997002500","원(KRW)","김상헌 김인환","055-380-5800","경상남도 양산시 산막공단북11길 103 -"
"004840","DRB동일","KOSPI",,,"032201","고무제품 제조업","12",,"19930000","500","9965000000","원(KRW)","류영식","051-520-9000","부산광역시 금정구 공단동로55번길 28 "
"155660","DSR","KOSPI",,,"032402","1차 비철금속 제조업","12",,"16000000","500","8000000000","원(KRW)","홍석빈","02-3420-3591","부산광역시 강서구 녹산산업중로192번길 7 "
"069730","DSR제강","KOSPI",,,"032401","1차 철강 제조업","12",,"14400000","500","7200000000","원(KRW)","홍하종, 홍석빈 (각자 대표이사)","061-752-0121","전라남도 순천시  서면 산단1길 15 "
"017860","DS단석","KOSPI",,,"032004","기타 화학제품 제조업","12",,"5861404","500","2930702000","원(KRW)","한승욱","031-488-0700","경기도 시흥시 협력로 165 "
"017940","E1","KOSPI",,,"074607","기타 전문 도매업","12",,"6860000","5000","34300000000","원(KRW)","구자용, 천정식 (각자 대표이사)","02-3441-4114","서울특별시 용산구 한강대로 92 LS용산타워"
"365550","ESR켄달스퀘어리츠","KOSPI",,,"126801","부동산 임대 및 공급업","05",,"213089000","1000","213089000000","원(KRW)","조주현","02-6205-0467","서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
"383220","F&F","KOSPI",,,"031401","봉제의복 제조업","12",,"38307075","100","3830707500","원(KRW)","김창수","02-520-0027","서울특별시 강남구 언주로 541 "
"007700","F&F홀딩스","KOSPI",,,"116409","기타 금융업","12",,"39114367","500","19557183500","원(KRW)","박의헌","02-520-0001","서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
"114090","GKL","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"61855670","500","30927835000","원(KRW)","김영산","02-6421-6000","서울특별시 강남구 삼성로 610 삼성동"
"078930","GS","KOSPI",,,"116409","기타 금융업","12",,"92915378","5000","473501020000","원(KRW)","허태수, 홍순기 (각자 대표이사)","-","서울특별시 강남구 논현로 508 "
"006360","GS건설","KOSPI",,,"064101","건물 건설업","12",,"85581490","5000","427907450000","원(KRW)","허창수, 허윤홍(각자 대표이사)","02-2154-1112","서울특별시 종로구 종로 33 그랑서울"
"001250","GS글로벌","KOSPI",,,"074608","상품 종합 도매업","12",,"82533764","2500","206334410000","원(KRW)","이영환","02-2005-5300","서울특별시 강남구 논현로 508 GS강남타워 "
"007070","GS리테일","KOSPI",,,"074701","종합 소매업","12",,"104717922","1000","104717922000","원(KRW)","허연수","02-2005-1114","서울특별시 강남구 논현로 508GS타워(역삼동 679) "
